name,rating,address,phone,website,email,maps_link,source_query
iQlance Solutions - Mobile App Developers Toronto,4.9,"
10 Markbrook Ln #502, Toronto, ON M9V 5E3, Canada","
+1 647-637-9108",https://www.iqlance.com/,info@iqlance.com;; info@iqlance.com,https://www.google.com/maps/place/iQlance+Solutions+-+Mobile+App+Developers+Toronto/data=!4m7!3m6!1s0x52ea7666fce9624d:0x94b589d37dd1e5a2!8m2!3d43.7590097!4d-79.5885733!16s%2Fg%2F11dxlfzmk2!19sChIJTWLp_GZ26lIRouXRfdOJtZQ?authuser=0&hl=en&rclk=1,software company in toronto
datarockets - custom software and mobile app development,4.9,"
150 King St W, Toronto, ON M5H 1J9, Canada",Not Available,http://datarockets.com/,,https://www.google.com/maps/place/datarockets+-+custom+software+and+mobile+app+development/data=!4m7!3m6!1s0x882b3554c8aed09f:0x6936944b0c3e7e14!8m2!3d43.6481325!4d-79.3846555!16s%2Fg%2F11nfztp_mx!19sChIJn9CuyFQ1K4gRFH4-DEuUNmk?authuser=0&hl=en&rclk=1,software company in toronto
Net Solutions Canada Limited,4.9,"
111 Queen St E Building Suite 450, Toronto, ON M5C 1S2, Canada","
+1 416-720-1790",https://www.netsolutions.com/,info@netsolutions.com; sales@netsolutions.com,https://www.google.com/maps/place/Net+Solutions+Canada+Limited/data=!4m7!3m6!1s0x89d4cb36ab249a1f:0xa791e04be87cc074!8m2!3d43.6533298!4d-79.374251!16s%2Fg%2F11ddx2grp4!19sChIJH5okqzbL1IkRdMB86Evgkac?authuser=0&hl=en&rclk=1,software company in toronto
247 Labs Inc.,4.9,"
170 University Ave, Toronto, ON M5H 3B3, Canada","
+1 877-247-7421",http://www.247labs.com/,,https://www.google.com/maps/place/247+Labs+Inc./data=!4m7!3m6!1s0x882b2fa064ea68f3:0x3039ecb3a79eadd1!8m2!3d43.6503057!4d-79.3843938!16s%2Fg%2F1tvw5kh7!19sChIJ82jqZKAvK4gR0a2ep7PsOTA?authuser=0&hl=en&rclk=1,software company in toronto
JIG Technologies,4.9,"
250 Merton St, Toronto, ON M4S 1B1, Canada","
+1 416-850-2684",https://jigtechnologies.com/,,https://www.google.com/maps/place/JIG+Technologies/data=!4m7!3m6!1s0x882b3337dc00abbd:0x8b8662cbfa96b8cc!8m2!3d43.6980054!4d-79.3886692!16s%2Fg%2F1tcv6yyd!19sChIJvasA3DczK4gRzLiW-stihos?authuser=0&hl=en&rclk=1,software company in toronto
Whitecap Canada,4.9,"
200 Yorkland Blvd #920, Toronto, ON M2J 1R5, Canada","
+1 855-393-9977",https://www.whitecapcanada.com/,,https://www.google.com/maps/place/Whitecap+Canada/data=!4m7!3m6!1s0x89d4d2f5f482e0b3:0xf26418fe36241e2c!8m2!3d43.771659!4d-79.335114!16s%2Fg%2F1td0twkk!19sChIJs-CC9PXS1IkRLB4kNv4YZPI?authuser=0&hl=en&rclk=1,software company in toronto
Mintbean,4.9,"
67 Mowat Ave Unit 232, Toronto, ON M6K 3L5, Canada",Not Available,Not Available,,https://www.google.com/maps/place/Mintbean/data=!4m7!3m6!1s0x882b35d80ae2b325:0x344e267e45cd56a0!8m2!3d43.6374102!4d-79.4254012!16s%2Fg%2F11fs0p86y1!19sChIJJbPiCtg1K4gRoFbNRX4mTjQ?authuser=0&hl=en&rclk=1,software company in toronto
RootQuotient,4.9,"
Schwartz Reisman Innovation Campus, 108 College St Suite W854, Toronto, ON M5G 0C6, Canada","
+1 647-374-5600",https://www.rootquotient.com/?utm_source=Google&utm_medium=Organic&utm_campaign=GMB,hello@rootquotient.com; name@company.com,https://www.google.com/maps/place/RootQuotient/data=!4m7!3m6!1s0x882b355eca00149f:0x814a17fa9686ea7!8m2!3d43.6603284!4d-79.3891454!16s%2Fg%2F11h8z36_hc!19sChIJnxQAyl41K4gRp25oqX-hFAg?authuser=0&hl=en&rclk=1,software company in toronto
Canadian Software Agency Inc. Mobile App Developers Toronto,4.9,"
1 Concorde Gate Suite #702, 706, North York, ON M3C 3N6, Canada","
+1 888-949-1232",https://canadian.agency/,,https://www.google.com/maps/place/Canadian+Software+Agency+Inc.+Mobile+App+Developers+Toronto/data=!4m7!3m6!1s0x882b6f8bc7d70189:0x69922bc8e126dce5!8m2!3d43.7289033!4d-79.3292719!16s%2Fg%2F11pv3njxv9!19sChIJiQHXx4tvK4gR5dwm4cgrkmk?authuser=0&hl=en&rclk=1,software company in toronto
Hyperlink InfoSystem - Top Mobile App Development Company in Canada,4.9,"
151 Yonge St 11th Floor, Toronto, ON M5C 2W7, Canada","
+1 309-791-4105",https://www.hyperlinkinfosystem.ca/,Email@company.com,https://www.google.com/maps/place/Hyperlink+InfoSystem+-+Top+Mobile+App+Development+Company+in+Canada/data=!4m7!3m6!1s0x89d4cb7199ac79fd:0x3e442861a0d4621f!8m2!3d43.6515599!4d-79.3784972!16s%2Fg%2F11t42dh5qh!19sChIJ_XmsmXHL1IkRH2LUoGEoRD4?authuser=0&hl=en&rclk=1,software company in toronto
Toronto Tech Company,4.9,"
1 King St W suite 4800-217, Toronto, ON M5H 1A1, Canada",Not Available,http://torontotechcompany.com/,,https://www.google.com/maps/place/Toronto+Tech+Company/data=!4m7!3m6!1s0x89d4cb3282bfffff:0xae4da2a7e2d82923!8m2!3d43.6488576!4d-79.3781453!16s%2Fg%2F11r5rhvztc!19sChIJ__-_gjLL1IkRIynY4qeiTa4?authuser=0&hl=en&rclk=1,software company in toronto
Thoughtworks Canada,4.9,"
469 King St W 2nd Floor, Toronto, ON M5V 1K4, Canada","
+1 647-478-7493",https://www.thoughtworks.com/en-ca,sg-th-sharedservices@thoughtworks.com; peoplesupport-na@thoughtworks.com,https://www.google.com/maps/place/Thoughtworks+Canada/data=!4m7!3m6!1s0x882b3450570ace13:0xf78e26faaf315a8d!8m2!3d43.6446816!4d-79.3967846!16s%2Fg%2F11b6dprgs1!19sChIJE84KV1A0K4gRjVoxr_omjvc?authuser=0&hl=en&rclk=1,software company in toronto
